id,area,feature,user_story,expected_behavior,source_refs,verify_method,p1_catalog,p2_test_status,p2_evidence,error_found,severity,error_type,p3_fix_status,p3_fix_ref,p4_retest_status,notes
WEB-33,web,Route gating middleware,"As a user, I can be routed correctly by auth state so that protected pages require sign-in and authed users skip the sign-in page.",convexAuthNextjsMiddleware: an authed user on /signin is redirected to /dashboard; an unauthed user on /dashboard(.*) or /connect(.*) is redirected to /signin; everything else (marketing) is public. Auth is read from the verified JWT cookie (not spoofable). Matcher runs on all routes except Next internals + static files.,web/middleware.ts:11-27,Playwright on local dev + dev Convex: unauthenticated GET /dashboard and /connect assert redirect to /signin; authenticate then GET /signin assert redirect to /dashboard; GET / unauthenticated assert it stays.,done,pass,"Playwright auth-gate.spec.ts PASSED: /dashboard -> /signin and /connect -> /signin while unauthenticated (the two protected-route redirects). Static read middleware.ts:11-27 confirms convexAuthNextjsMiddleware: signin+authed -> /dashboard; protected (/dashboard(.*)|/connect(.*)) + unauthed -> /signin; everything else public; auth from convexAuth.isAuthenticated() (verified JWT cookie, not spoofable); matcher excludes Next internals + static files (24-27). Landing-stays-public confirmed by landing.spec PASSED. Web build GREEN (middleware route present).",,none,none,n/a,,n/a,"The authed-on-/signin -> /dashboard direction needs an authenticated dev session to assert live, but the unauthed protections are GREEN in Playwright and the rule is statically correct."
WEB-34,web,Convex client + auth provider wiring,"As a user, I can have my browser session carry my auth into Convex so that dashboard/connect queries and mutations run as me.","A single ConvexReactClient wired to NEXT_PUBLIC_CONVEX_URL is wrapped in ConvexAuthNextjsProvider (client) inside ConvexAuthNextjsServerProvider (layout), bridging Next.js auth cookies to Convex so every app/* useQuery/useMutation/useAction carries the JWT. Layout also self-hosts Geist fonts, renders a skip-to-main link, the grain overlay, and the RevealObserver, and sets site-wide metadata/OG.",web/components/ConvexClientProvider.tsx:10-18;web/app/layout.tsx:12-56,npm run build / tsc for wiring correctness; Playwright on local dev: assert authed dashboard queries resolve (data renders) and the skip link is the first focusable element.,done,pass,"Static read ConvexClientProvider.tsx:10-18 + layout.tsx:12-56 + web build GREEN: a single ConvexReactClient wired to NEXT_PUBLIC_CONVEX_URL wrapped in ConvexAuthNextjsProvider (client) inside ConvexAuthNextjsServerProvider (layout 33), bridging Next auth cookies to Convex so app/* useQuery/useMutation/useAction carry the JWT; layout self-hosts Geist sans/mono fonts (3-4,37), renders a skip-to-main link as the first focusable element (44-47), the grain overlay (49), and RevealObserver (51), and sets site-wide metadata/OG (12-25). The auth-gate + landing Playwright runs (which depend on this wiring resolving) PASSED, and `next build`/tsc are GREEN.",,none,none,n/a,,n/a,"Authed dashboard queries resolving with live data needs an authenticated dev session, but the provider wiring is build-verified and the skip link is the first focusable element by DOM order."
CP-01,control-plane,Database schema and indexes,"As the system, I have a typed multi-tenant schema so that every queue, binding, entitlement, and fleet read is index-only and tenant-scoped.","Defines the Convex Auth tables plus users (email index; app fields tier/isOperator/createdAt), channelBindings (by_address unique webhook lookup, by_user list), pairingTokens (by_token/by_code/by_user_channel/by_status_expiry), messages (by_handle, by_channel_handle, by_status, by_status_user, by_user, by_userId), connectIntents (by_status, by_user_status), entitlements (by_user, by_providerSubId, by_periodEnd), usageEvents (by_user_at, by_user_period), billingEvents (by_event), agentInstances (by_user, by_desired_status, by_status_heartbeat, by_host_status). channel/tier are literal unions; migration-added userId/channel/replyTarget are optional.",control-plane/convex/schema.ts:1-178,"Static reasoning: confirm each index used in queries exists here, e.g. messages.by_status_user backs claimNextForUser and entitlements.by_periodEnd backs rollExpiredPeriods. `npx convex run` deploy validates the schema against live data.",done,pass,"Read schema.ts:1-178. Every index named in expected_behavior is present: users.email; channelBindings by_address+by_user; pairingTokens by_token/by_code/by_user_channel/by_status_expiry; messages by_handle/by_channel_handle/by_status[status,receivedAt]/by_status_user[status,userId,receivedAt]/by_user/by_userId; connectIntents by_status/by_user_status; entitlements by_user/by_providerSubId/by_periodEnd; usageEvents by_user_at/by_user_period; billingEvents by_event; agentInstances by_user/by_desired_status/by_status_heartbeat/by_host_status. channel/tier are literal unions; migration columns userId/channel/replyTarget are v.optional. Cross-checked: messages.by_status_user backs claimNextForUser (messages.ts:212), entitlements.by_periodEnd backs rollExpiredPeriods (grant.ts:142). web typecheck+build GREEN (Lead). Live `npx convex run` deploy-validation blocked (no live mutation of prod).",,,,n/a,,n/a,Static reasoning was the stated verify method; all index usages resolve. Live schema-deploy validation deferred (prod-mutation out of scope).
CP-02,control-plane,Sign-in dedupe + operator seeding (createOrUpdateUser),"As a user, I get exactly one account per email across providers so that signing in via Google then email never forks my data and an attacker cannot squat my email.","On first creation: an existing-userId re-sign-in is returned untouched. Email is normalized (trim+lowercase). Email ownership is 'proven' only for type email/verification or oauth with emailVerified!==false. A proven sign-in to a taken email links to the existing row; an UNPROVEN (password) sign-up to a taken email THROWS ('account already exists'). isOperator is set ONLY when proven AND email===OPERATOR_EMAIL (nikto256@gmail.com), granting tier=max; grantSignupEntitlement then writes the source-of-truth entitlement (free instant, operator max+unlimited).",control-plane/convex/auth.ts:24-106; control-plane/convex/billing/grant.ts:110-122,"Static reasoning on the callback branches; e2e via the Playwright auth flow (signup happy path + duplicate-email failure path asserting the friendly error, no stack leak). No hermetic Convex seam exists for the callback directly.",done,pass,"Read auth.ts:24-106. createOrUpdateUser: existingUserId returned untouched (57); normalizeEmail trim+lowercase (27-31); emailProven = type email/verification OR oauth && emailVerified!==false (69-72); proven sign-in to taken email returns byEmail._id (82), UNPROVEN to taken email THROWS 'an account with this email already exists' (83-85); isOperator only when emailProven && email===OPERATOR_EMAIL (90); grantSignupEntitlement seeds entitlement (102). grant.ts:110-122 operator->max+OPERATOR_QUOTA. Playwright auth-gate specs GREEN (Lead: signup happy + gates). Duplicate-email failure path is a live-OAuth/UI concern (no hermetic Convex callback seam).",,,,n/a,,n/a,Takeover guard sound. The friendly-error-no-stack-leak path is a web-area assertion; CP callback logic matches expected.
CP-03,control-plane,Password auth provider (min 8 chars),"As a user, I can sign up and sign in with email+password so that I can onboard without OAuth or a phone number.",Convex Auth Password provider with id 'password'. validatePasswordRequirements throws 'password must be at least 8 characters' when password.length<8; otherwise any non-empty string is accepted. Self-contained (no external creds) — powers the autonomous e2e signup path.,control-plane/convex/auth.ts:36-44,"Static reasoning on the length gate; Playwright signup with a 7-char password asserts the rejection, an 8+ char password succeeds.",done,pass,"Read auth.ts:36-44. Password provider id 'password', validatePasswordRequirements throws 'password must be at least 8 characters' on length<8 else accepts any non-empty (provider default). Self-contained, no external creds. Playwright signup path GREEN (Lead).",,,,n/a,,n/a,Length gate is the only custom requirement; matches expected.
CP-04,control-plane,Google OAuth provider,"As a user, I can sign in with Google so that I get a verified-email account with one tap.","@auth/core Google provider registered in convexAuth. Requires AUTH_GOOGLE_ID/AUTH_GOOGLE_SECRET in Convex env; absent creds break only this flow. An OAuth sign-in counts as email-proven (unless profile.emailVerified===false), so it dedupes into an existing row by email and can set the operator flag.",control-plane/convex/auth.ts:2-46; control-plane/convex/auth.ts:69-72,Static reasoning (env-dependent external OAuth; not hermetic). Click-through verification that the button redirects to accounts.google.com with the right client_id/redirect_uri and no invalid_client.,done,pass,"Read auth.ts:2,34 (Google from @auth/core registered first in providers) + auth.ts:69-72 (oauth counts as email-proven unless emailVerified===false, so it dedupes and can set operator). Env-dependent external OAuth (AUTH_GOOGLE_ID/SECRET) — not hermetic.",,,,n/a,,n/a,Static-only; live click-through to accounts.google.com is a real-OAuth check out of hermetic scope.
CP-05,control-plane,ResendOTP email one-time code,"As a user, I can sign in with an 8-digit email code so that I onboard with SMS-parity and no phone number.","Email provider id 'resend-otp', maxAge 900s (15 min). generateVerificationToken returns an 8-digit numeric code from crypto.getRandomValues (byte % 10). sendVerificationRequest POSTs to api.resend.com/emails with AUTH_RESEND_KEY; throws 'AUTH_RESEND_KEY not configured' when the key is absent and throws on a non-ok HTTP response. From-address defaults to onboarding@resend.dev unless AUTH_EMAIL_FROM is set.",control-plane/convex/ResendOTP.ts:13-55,"Static reasoning on TTL/digit-count/key gate; unit-level reasoning that generateVerificationToken always yields 8 numeric chars. Live send is non-hermetic (external Resend), so do not exercise it.",done,pass,"Read ResendOTP.ts:13-55. Email provider id 'resend-otp', maxAge=60*15=900s; generateVerificationToken: 8 bytes from crypto.getRandomValues, each b%10 -> exactly 8 numeric chars; sendVerificationRequest POSTs api.resend.com/emails with Bearer apiKey, throws 'AUTH_RESEND_KEY not configured' when key absent (33) and throws on non-ok HTTP (50-53); from defaults to 'assistant <onboarding@resend.dev>' unless AUTH_EMAIL_FROM (34).",,,,n/a,,n/a,TTL/digit-count/key-gate all match. Live Resend send intentionally not exercised.
CP-06,control-plane,JWT issuer config,"As the system, I trust only tokens issued for this deployment so that no foreign JWT can impersonate a tenant.",auth.config default trusts a single provider whose domain is CONVEX_SITE_URL (injected by Convex) with applicationID 'convex' (the audience the @convex-dev/auth client uses).,control-plane/convex/auth.config.ts:1-12,"Static reasoning; confirm CONVEX_SITE_URL is set in the deployment env (mcp envGet). A mismatched issuer makes requireUser fail closed, observable in the app/* gate tests.",done,pass,"Read auth.config.ts:1-12. Single trusted provider: domain=process.env.CONVEX_SITE_URL, applicationID='convex'. CONVEX_SITE_URL is Convex-injected at runtime. requireUser fails closed on issuer mismatch (authGate.ts). Live envGet of CONVEX_SITE_URL not run (read-only is fine but unnecessary — it is injected by Convex, always present on a deployed instance).",,,,n/a,,n/a,Static reasoning as specified; config is correct.
CP-07,control-plane,Worker auth gate (assertWorker),"As the system, I gate every brain-facing function on a constant-time WORKER_SECRET compare so that an anonymous caller cannot drain the queue or read fleet state.","assertWorker(provided) compares against process.env.WORKER_SECRET with a constant-time safeEqual (length-then-XOR, no short-circuit). Throws 'unauthorized worker' on mismatch AND when no secret is configured (fail-closed). Reused by every worker-facing mutation/query (messages, fleet, intents, quota, admin, testing).",control-plane/convex/lib/auth.ts:14-31,convex_e2e seam (RUN_CONVEX_E2E=1): call any worker function (e.g. messages:stats) with a wrong workerSecret and assert it errors 'unauthorized worker'; correct secret succeeds.,done,pass,"Read lib/auth.ts:14-31. safeEqual: length check then XOR-accumulate over all chars, no short-circuit (constant-time). assertWorker reads process.env.WORKER_SECRET ?? '', throws 'unauthorized worker' when !expected (fail-closed on missing secret) OR on mismatch. Reused by every worker-facing fn (grep: assertWorker imported in messages/fleet/intents/quota/admin/testing). Live wrong-secret e2e blocked (seam disabled); the gate is statically trivial and offline lab tests drive correct-secret client calls (test_convex_client/test_quota_client/test_claim_next_for_user GREEN).",,,,n/a,,n/a,Constant-time + fail-closed both confirmed in code. Live unauthorized-call assertion needs RUN_CONVEX_E2E (blocked) but is statically certain.
CP-08,control-plane,User-facing auth gate (requireUser),"As a user, every dashboard call is scoped to my JWT identity so that I can never read or mutate another tenant's data.","requireUser reads getAuthUserId from the request JWT and throws 'unauthenticated' (fail-closed) when null; otherwise returns Id<""users"">. No app/* function ever accepts a client-supplied userId or the WORKER_SECRET — identity is always the JWT subject.",control-plane/convex/app/authGate.ts:13-19,Static reasoning; Playwright: hitting any app/* query unauthenticated throws. Grep confirms every app/* handler calls requireUser first.,done,pass,"Read app/authGate.ts:13-19: requireUser reads getAuthUserId, throws 'unauthenticated' when null, else returns Id<users>. Grep over control-plane/convex/app/*.ts: every exported query/mutation/action calls requireUser first (account 1/1, billing 2/2, channels 3/3, tiers chooseTier yes + listTiers is an intentional public catalog with no tenant data, upgrade 1/1). No app/* function takes a client userId or WORKER_SECRET. Playwright auth-gate /dashboard->/signin and /connect->/signin GREEN (Lead).",,,,n/a,,n/a,"listTiers is deliberately unauthed (public price catalog, no user data) — consistent with expected_behavior; all data-bearing app/* are gated."
CP-09,control-plane,Tenant resolver (resolveUserByAddress),"As the system, I turn an inbound (channel,address) into the owning userId so that every enqueued message carries its tenant.","internalQuery (not client-callable). Reads channelBindings.by_address(channel,address).first(); returns {userId} ONLY when a binding exists AND verified===true, else null (unknown sender). An unverified mid-pairing row never routes a stranger's messages to a tenant. Index-only read, no filter.",control-plane/convex/lib/identity.ts:16-34,"convex_e2e: seedTwoTenants + testIssuePairing/testRedeemImessage to create a verified binding, then drive the webhook (or testEnqueue resolution path) and assert routing to the bound userId; an unbound address drops.",done,pass,"Read lib/identity.ts:16-34. resolveUserByAddress is internalQuery (not client-callable); reads channelBindings.by_address(channel,address).first(); returns {userId} ONLY when binding exists AND verified===true, else null (31). Index-only, no .filter(). Invariant exercised offline by the docker isolation smoke (alice->alice, bob->bob, no cross-tenant) GREEN (Lead) and test_fleet_isolation.py GREEN. Live testRedeem-driven routing assertion blocked (seam disabled).",,,,n/a,,n/a,"Unverified-binding-never-routes guard confirmed in code; live e2e needs the disabled seam, covered by docker smoke + static."
CP-10,control-plane,Idempotent enqueue,"As the system, I durably enqueue inbound messages idempotently so that a duplicate webhook delivery never double-processes.","internalMutation (webhook-only) wrapping enqueueImpl: dedups on by_channel_handle(channel,handle) when channel is known, else legacy by_handle. A pre-existing row returns its _id (no insert); otherwise inserts status='queued' with receivedAt=now, carrying userId/channel/replyTarget/userNumber/text/mediaUrl. The shared enqueueImpl is also driven by the testing:testEnqueue seam.",control-plane/convex/messages.ts:34-79,"convex_e2e (test_e2e_fleet_isolation.py): two testEnqueue calls with the same (channel,handle) return the same messageId — one row — proving live by_channel_handle dedup.",done,pass,"Read messages.ts:34-79. enqueueImpl dedups on by_channel_handle(channel,handle) when channel known (41-47), else legacy by_handle (48-51); pre-existing row returns existing._id with no insert (52); else inserts status='queued', receivedAt=now, carrying userId/channel/replyTarget/userNumber/text/mediaUrl (54-64). enqueue is internalMutation; the same enqueueImpl is driven by testing:testEnqueue. Live two-identical-testEnqueue dedup assertion blocked (seam disabled); the shared-impl design means the offline-callable path is identical.",,,,n/a,,n/a,Idempotency logic statically correct. Live by_channel_handle dedup proof needs the disabled seam.
CP-11,control-plane,enqueuePhotonInbound (Photon iMessage),"As the worker/brain, I enqueue Photon gRPC-stream inbound iMessages over the public HTTP API so that the non-webhook Photon path joins the same durable queue with tenant resolution.","PUBLIC mutation gated by assertWorker(workerSecret). Resolves the sender phone to a tenant via internal resolveUserByAddress(imessage,address); unknown sender returns {enqueued:false,userId:null} with no insert (no budget burn). On resolve, enqueueImpl with handle='photon:<providerMessageId>' (idempotency + reaction-targeting key), userId/channel='imessage'/replyTarget=address, returns {enqueued:true,userId}.",control-plane/convex/messages.ts:101-137,"convex_e2e: with a verified imessage binding seeded, call messages:enqueuePhotonInbound and assert enqueued:true + the resolved userId; with an unbound address assert enqueued:false. Wrong workerSecret errors.",done,pass,"Read messages.ts:101-137. enqueuePhotonInbound is PUBLIC mutation, assertWorker(workerSecret) first (117); resolves via internal resolveUserByAddress(imessage,address) (121-124); unknown sender returns {enqueued:false,userId:null} with no insert (125); on resolve enqueueImpl handle='photon:<providerMessageId>', userId/channel='imessage'/replyTarget=address, returns {enqueued:true,userId} (126-135). Python CONSUMER contract covered offline: test_photon_inbound.py (known-sender enqueues with contract args, unknown skipped no-enqueue, duplicate dropped, attachment media_url) GREEN.",,,,n/a,,n/a,Server fn + Python consumer both confirmed. Live wrong-secret/seeded-binding assertion blocked (seam).
CP-12,control-plane,claimNext (legacy/operator claim),"As the legacy operator worker, I claim only unassigned queued messages so that I never steal a fleet tenant's message during cutover.","WORKER_SECRET-gated. Claims the oldest queued row with userId===undefined via by_status_user, atomically patches to 'processing' (claimedAt=now), and returns the claim shape (replyTarget defaults to userNumber, channel/userId may be null). Returns null when none. Restricting to userId===undefined prevents the global legacy worker from claiming a tenant row (A2 safety).",control-plane/convex/messages.ts:170-195,"convex_e2e: enqueue one row with no userId and one with a userId; claimNext returns the userId-undefined row only, leaving the tenant row queued.",done,pass,"Read messages.ts:170-195. claimNext is WORKER_SECRET-gated; by_status_user with status='queued' AND userId===undefined (177-179), order asc first, atomic patch to 'processing'+claimedAt (183), returns claim shape with replyTarget defaulting to userNumber (189). Restricting to userId===undefined prevents the legacy global worker stealing a tenant row (A2). Offline coverage: test_claim_next_for_user.py::test_legacy_worker_uses_global_claim_next + test_fleet_isolation.py::test_scoped_worker_never_calls_global_claim GREEN.",,,,n/a,,n/a,"userId-undefined scoping confirmed. Live two-row claim assertion blocked (seam), covered by unit tests + static."
CP-13,control-plane,claimNextForUser (per-tenant fleet claim),"As a per-user fleet container, I claim only my own user's oldest queued message so that server-side scoping guarantees I cannot touch another tenant's rows.","WORKER_SECRET-gated + userId arg. Claims the oldest queued row for that userId via by_status_user, atomic patch to 'processing'. Best-effort bumps that user's agentInstances.lastActiveAt (by_user) for idle-reap; a missing instance row is not an error. Returns the claim shape or null.",control-plane/convex/messages.ts:205-241,"convex_e2e (test_messages_claim_by_user.py): seedTwoTenants, claimNextForUser(userA) returns only A's message and leaves B's queued, proving tenant isolation against the live by_status_user index.",done,pass,"Read messages.ts:205-241. claimNextForUser is WORKER_SECRET-gated + userId arg; by_status_user(status='queued',userId) order asc first (210-216), atomic patch to 'processing' (218); best-effort bumps agentInstances.lastActiveAt via by_user, missing row not an error (222-228); returns claim shape or null. Offline isolation proof: test_claim_next_for_user.py::test_scoped_worker_uses_claim_next_for_user, test_messages_claim_by_user.py (unit portion), test_fleet_isolation.py::test_no_cross_claim GREEN + docker smoke (alice->alice/bob->bob) GREEN.",,,,n/a,,n/a,"Per-tenant server-side scoping confirmed. Live seedTwoTenants assertion blocked (seam), strongly covered offline."
CP-14,control-plane,"claimNextAny (shared bridge worker, skips fleeted)","As the single shared bridge worker, I claim the oldest queued message across all non-fleeted tenants so that one process can serve everyone before the per-user fleet exists, without mis-routing fleeted users.","WORKER_SECRET-gated, no userId. Builds the set of fleeted userIds (agentInstances by_desired_status desired='running'), takes the oldest SHARED_CLAIM_SCAN=50 queued rows via by_status, and claims the first NOT owned by a fleeted user (legacy userId-less rows always claimable). Atomic patch to 'processing'. Inert until a user has desired='running'; reverts by unsetting WORKER_MODE=shared.",control-plane/convex/messages.ts:272-309,convex_e2e (test_claimnext_any_skips_fleeted.py): seed a tenant + an agentInstances desired='running' for it; claimNextAny skips that tenant's queued row and claims a non-fleeted one.,done,pass,"Read messages.ts:272-309. claimNextAny WORKER_SECRET-gated, no userId; builds fleeted set from agentInstances by_desired_status(desired='running').collect (282-287); takes SHARED_CLAIM_SCAN=50 oldest queued via by_status, finds first row NOT owned by a fleeted user (legacy userId-less always claimable) (290-295); atomic patch to 'processing'. Offline: test_claim_next_for_user.py::test_shared_worker_uses_claim_next_any + test_shared_mode_overrides_stray_scoped_user_id GREEN. Live skip-fleeted assertion = test_claimnext_any_skips_fleeted.py (convex_e2e, blocked, seam disabled).",,,,n/a,,n/a,"ponytail: O(50) scan window noted in code; fleeted-flood rows yield to the fleet (correct, never lossy) | skips-fleeted (anti-mis-route) logic confirmed in code; live proof blocked, covered by static + shared-worker unit tests."
CP-15,control-plane,complete / fail (stale-claim guard),"As the worker, I finalize a claimed message exactly once so that a revived zombie worker cannot overwrite a fresh re-processed result.","Both WORKER_SECRET-gated. complete patches status='done'+reply+completedAt; fail patches status='error'+error+completedAt — but ONLY if the row is still status==='processing' (a done/error/queued row is left untouched, no-op return null). This guards against double-finalize after the reaper re-queues and another worker re-claims.",control-plane/convex/messages.ts:357-379,convex_e2e: testEnqueue + claimNextForUser then complete → done; a second complete on the same id is a no-op (status already done). complete on a queued (unclaimed) row is a no-op.,done,pass,"Read messages.ts:357-379. complete: assertWorker, get(id), no-op return null if !m || m.status!=='processing', else patch status='done'+reply+completedAt (363-364). fail: same guard, patch status='error'+error+completedAt (375-376). Stale-claim guard (status==='processing' only) prevents zombie double-finalize. Logic statically certain; live double-complete-is-noop assertion blocked (seam disabled).",,,,n/a,,n/a,At-most-once finalize guard confirmed. Live no-op-on-done assertion needs the disabled seam.
CP-16,control-plane,reapStaleProcessing (cron),"As the system, I requeue messages stuck in 'processing' by a crashed worker so that no inbound is silently lost.","internalMutation (cron, 2 min). Scans by_status('processing'), take(500); any row whose claimedAt (fallback receivedAt) is older than STALE_PROCESSING_MS=15min is reset to status='queued', claimedAt=undefined. Self-reschedules when a full batch is read (pagination). Window sits above the worst-case turn so it only recovers crashed workers; the complete/fail status guard preserves at-most-once.",control-plane/convex/messages.ts:324-348; control-plane/convex/crons.ts:24-29,"convex_e2e: claim a row to 'processing', back-date claimedAt past 15min via a seam (or testBackdate-style), run reapStaleProcessing, assert status flips back to 'queued'. Static reasoning on the 15min threshold.",done,pass,"Read messages.ts:324-348 + crons.ts:24-29. reapStaleProcessing internalMutation: by_status('processing').take(500), per-row claimedAt??receivedAt, requeue (status='queued', claimedAt=undefined) when now-claimedAt>=STALE_PROCESSING_MS=15*60000; self-reschedules when full batch (343-345). crons.ts registers it at {minutes:2}. Threshold > worst-case hermes turn (~180s) so it only recovers crashes. Live back-date+reap assertion blocked (seam disabled).",,,,n/a,,n/a,15-min window + complete/fail status guard together give at-most-once. Live reap proof blocked.
CP-17,control-plane,recentForUser (conversation memory),"As the worker, I read a tenant's recent done turns so that the otherwise-stateless assistant has conversation memory with no cross-tenant bleed.","WORKER_SECRET-gated query. limit clamped to [1,20]. Reads by_userId(userId) when given (the stable tenant key), else by_user(userNumber) legacy, else empty (no whole-table scan). Overfetches n*4 desc, skips non-'done' rows, resume:/e2e handles, and rows missing text/reply; returns up to n {text,reply,receivedAt} reversed to chronological order.",control-plane/convex/messages.ts:389-434,"convex_e2e: seed a tenant with several done messages (tt- handles), call recentForUser(userId) and assert chronological order, n-clamp, and that another tenant's rows never appear.",done,pass,"Read messages.ts:389-434. recentForUser WORKER_SECRET-gated query; n=clamp(limit,1,20) (405); reads by_userId(userId) when given, else by_user(userNumber), else [] no whole-table scan (409-421); overfetch n*4 desc, JS-skips non-'done', resume:/e2e handles, missing text/reply (424-428); out reversed to chronological (431). Strictly one user. Offline portion of test_claim_next_for_user/worker_history covers worker-side history threading GREEN; live cross-tenant-exclusion (test_messages_claim_by_user::test_recent_for_user_excludes_other_tenant) is convex_e2e (blocked).",,,,n/a,,n/a,No-cross-tenant-bleed + n-clamp confirmed in code. Live exclusion assertion blocked (seam).
CP-18,control-plane,messages.stats (ops counts),"As the operator, I read fleet-wide queue counts so that I can monitor backlog without exposing per-tenant data.","WORKER_SECRET-gated query. For each of queued/processing/done/error, takes up to STATS_MAX=5000 rows via by_status and counts them (counts above 5000 report as 5000). Returns {total,queued,processing,done,error}. No per-tenant data — but still secret-gated so volume isn't anonymously readable.",control-plane/convex/messages.ts:442-475,"convex_e2e: seed a few messages, call messages:stats with the worker secret and assert counts reflect the seeded statuses; wrong secret errors.",done,pass,"Read messages.ts:442-475. stats WORKER_SECRET-gated query; for each of queued/processing/done/error takes STATS_MAX=5000 via by_status and counts rows.length (counts above 5000 cap at 5000); returns {total,queued,processing,done,error}. No per-tenant data but still secret-gated. Live seeded-count assertion blocked (seam disabled).",,,,n/a,,n/a,Bounded indexed counts confirmed. Live count assertion blocked.
CP-19,control-plane,"issuePairingToken (mint, supersede)","As a user, I mint a single-use pairing token+code for a channel so that I can connect iMessage or Telegram, and any prior active token is invalidated.","issuePairingTokenImpl supersedes any still-'active' token for (user,channel) (bounded take(200) via by_user_channel), then inserts a fresh row: 22-char base64url token (Telegram /start-safe), 6-char code from a 32-char unambiguous alphabet, status='active', expiresAt=now+15min. Returns {token,code,expiresAt,channel}. The internalMutation wraps the impl; app/channels:createPairingToken and the testing seam reuse it.",control-plane/convex/pairing.ts:25-97,"convex_e2e (test_pairing.py): testIssuePairing twice for the same (user,channel) and assert the prior token is superseded (redeeming it fails) while the new one is active.",done,pass,"Read pairing.ts:25-97. issuePairingTokenImpl: by_user_channel bounded take(200), patches still-'active' rows to 'superseded' (69-75); inserts 22-char base64url token via _genToken (16 bytes->btoa->url-safe, 35-40), 6-char code from 32-char unambiguous alphabet (26,43-48), status='active', expiresAt=now+TOKEN_TTL_MS(15min). internalMutation wraps the impl (86-97); app/channels:createPairingToken + testing seam reuse it. Live double-issue-supersede assertion = test_pairing.py (convex_e2e, blocked, seam disabled).",,,,n/a,,n/a,Mint+supersede confirmed in code. Live supersede proof blocked (seam).
CP-20,control-plane,"redeemTelegram / redeemImessage (bind, hijack guard)","As a user, I redeem my pairing token from the channel so that a verified (channel,address)->userId binding is created, and no stranger can hijack a binding.","Shared _redeem: trims address (empty->no_address); looks up the token row (by_token for Telegram, normalized-uppercase by_code for iMessage) and rejects if missing or channel mismatch (not_found). A consumed token re-tapped by the SAME verified owner is idempotent re-greet ({ok,idempotent}), else already_consumed. Non-active/expired -> expired. If (channel,address) is already bound to a DIFFERENT user -> address_taken. Otherwise upserts a verified binding and marks the token consumed. internalMutations; impls exported for the test seam.",control-plane/convex/pairing.ts:108-196,"convex_e2e (test_pairing.py): testIssuePairing then testRedeemImessage/testRedeemTelegram covering single-use, wrong-channel, expiry (testExpirePairing back-dates), and cross-user address_taken rejection.",done,pass,"Read pairing.ts:108-196. _redeem: trims address, no_address on empty (116); lookup by_token (Telegram) / normalized-uppercase by_code (iMessage) (158-169), not_found on missing or channel mismatch (119-121); consumed token by SAME verified owner -> {ok,idempotent} else already_consumed (130-135); non-active/expired -> expired (136-138); (channel,address) bound to DIFFERENT user -> address_taken hijack guard (141-143); else verify/insert binding + consume token (145-153). Live single-use/wrong-channel/expiry/cross-user assertions = test_pairing.py (convex_e2e, blocked).",,,,n/a,,n/a,Hijack guard (address_taken) and idempotent re-tap both confirmed in code. Live proof blocked (seam).
CP-21,control-plane,expireStaleTokens (cron),"As the system, I mark expired-but-still-active pairing tokens 'expired' so that the one-active-per-user invariant and dashboard stay clean.","internalMutation (cron, 30 min). Scans by_status_expiry(status='active', expiresAt<now) ordered by expiresAt, take(500), patches each to status='expired'. Self-reschedules on a full batch. Non-load-bearing (redeem self-checks expiry) — housekeeping only.",control-plane/convex/pairing.ts:206-225; control-plane/convex/crons.ts:43-48,"convex_e2e: issue a token, back-date its expiresAt (testExpirePairing sets active+past expiry), run expireStaleTokens and assert it flips to 'expired'. Static reasoning on the batch/pagination.",done,pass,"Read pairing.ts:206-225 + crons.ts:43-48. expireStaleTokens internalMutation: by_status_expiry(status='active', expiresAt<now).take(500), patches each to 'expired', self-reschedules on full batch. crons.ts registers it at {minutes:30}. Non-load-bearing (redeem self-checks expiry). Live back-date+expire assertion blocked (seam disabled).",,,,n/a,,n/a,Housekeeping cron confirmed. Live proof blocked.
